"genes","T_Penn_3","T_Penn_6","T_Penn_8","T_Penn_9","T_Penn_14","T_Penn_16","T_Penn_27","PT_Penn_15","PT_Penn_17","PT_Penn_18","PT_Penn_24","PT_Penn_25","PT_Penn_28","PT_Penn_4","PT_Penn_10"
"APLF",48.5265266791911,130.864936947989,54.2177216879228,119.993912503951,61.1915885101025,66.2245863150016,115.528708884158,161.850708906105,154.656613986758,209.842864725414,328.809369933218,142.598584983272,929.012514345046,211.881864089555,207.421940265843
"P2RY12",6.93236095417016,51.3825519304987,10.4264849399852,26.3401271350136,0,18.742807447642,0,61.1436011423063,79.7448165869218,98.749583400195,68.0295248137692,126.754297762909,109.295589922947,11.771214671642,131.781848596775
"FRMD4B",76.2559704958718,179.838931756745,52.1324246999258,119.993912503951,47.0704527000788,79.9693117766057,66.0164050766615,158.254026485969,630.709003914745,370.310937750731,306.132861661961,293.728709239048,54.6477949614733,94.1697173731357,371.140716456225
"RAP1GAP",0,38.536913947874,0,52.6802542700273,2.35352263500394,74.9712297905679,0,0,0,0,0,0,0,0,1.00853455558757
"RGS18",734.830261142037,1637.01599041073,381.609348803457,945.317896067712,230.645218230386,734.718051947565,1105.77478503408,956.717523756087,6599.48769996617,3461.17289817684,3367.46147828157,4053.69994576379,2240.55959342041,1365.46090191047,2239.95524795999
"DAPP1",207.970828625105,390.989106096138,227.297371691676,288.27805808876,124.736699655209,161.188144049721,313.577924114142,251.767769409497,495.384466676333,577.685062891141,907.060330850256,873.873379769283,929.012514345046,423.763728179111,627.644671760663
"TBC1D15",27.7294438166806,105.173660982739,72.9853945798961,67.3136582339237,42.363407430071,87.4664347556625,16.5041012691654,68.3369659825777,369.725967812092,286.373791860566,147.397303763167,176.724742073286,163.94338488442,164.797005402988,108.585553818261
"MMD",41.594165725021,114.005037095794,56.3030186759198,141.944018449796,51.7774979700867,53.729381349907,165.041012691654,68.3369659825777,222.318882605964,441.904385715873,249.44159098382,575.269505231662,54.6477949614733,258.966722776123,379.208992900925
"PKHD1L1",0,59.4110756696391,25.0235638559644,39.5101907025205,0,27.4894509232082,33.0082025383308,50.3535538818993,62.8292494321202,101.2183229852,68.0295248137692,177.943533397929,491.83015465326,35.3136440149259,370.468360085833
"TSC22D1",76.2559704958718,295.449673600367,104.264849399852,282.424696503202,84.7268148601419,173.683349014816,610.651746959119,248.171086989361,357.643419844377,713.465740066409,1326.5757338685,1435.73618042987,1092.95589922947,600.33194825374,715.050999911585
