sample_id,vol_input,ACTB,CAPN6,HSD3B1,PSG7,S100A8,PKHD1L1,TBC1D15,RGS18,HAL,BPI,KRT8,CD180,OAZ1,CGA,HSPB8,VGLL1,S100A9,APLF,DGCR14,AVPR1A,ITIH2,CD24,MPO,ENAH,GAPDH,CGB,LGALS14,ANXA3,S100P,CPVL,DAPP1,TFIP11,KNG1,CEACAM6,NFATC1,SAMD9,CYP3A7,CSH1,PAPPA,CAMP,RAB27B,MMD,MOB1B,VCAN,OTC,CEACAM8,NFATC2,DCX ,FSTL3,CSH2,PLAC1,DEFA4,RAP1GAP,KLF9,PPBP,FABP1,SERPINA7,DEFA3,CNOT7,FRZB,SLC2A2,CSHL1,PLAC4,LTF,FAM212B-AS1,P2RY12,RPL23AP7,FGA,SLC4A1,ELANE,CD2,GNAZ,ADAM12,GH2,PSG1,MMP8,LYPLAL1,RAB11A,MAP3K7CL,FGB,ARG1,HMGB3,CD5,MEF2C,ALPP,HSD17B1,PSG4,PGLYRP1,FRMD4B,CLCN3,POLE2,SLC38A4,EPB42,HMGN2,CD160,PTGER3
NTC21,1ul,33.93448454,999,999,999,16.38689932,999,26.43847609,999,999,999,28.25032375,999,999,999,999,999,999,999,999,999,999,999,999,999,19.79826964,999,999,999,999,16.75816408,999,999,32.13423665,999,999,999,999,21.53452217,999,20.67437128,999,999,20.11481666,25.85894993,999,38.75167629,999,999,38.35454746,26.09877049,999,999,999,39.92769568,999,21.77912932,999,999,999,999,999,20.66630205,33.30019029,999,999,999,28.20556697,42.93322617,999,999,25.90005805,27.18598783,999,999,999,22.58157042,999,999,999,999,999,999,999,41.37520336,999,999,999,24.90133205,999,999,25.92633805,999,999,999,999,999
NTC22,1ul,999,999,999,999,16.38265931,999,25.90128486,999,999,999,26.12503646,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,17.25603147,999,999,20.15103992,999,999,999,999,999,43.68228522,999,999,999,21.45926931,35.63768921,999,999,999,999,23.10933191,26.15974548,999,999,999,999,999,999,999,999,999,999,999,20.7980143,29.82865869,999,999,999,30.03533034,41.2475808,999,999,999,999,999,999,999,999,999,999,999,25.19524111,999,999,999,39.40176332,999,999,999,24.45259378,999,999,24.52906282,999,999,37.65704852,999,999
NTC23,1ul,999,999,999,33.80362814,16.95296256,999,25.97871768,999,999,999,28.23430239,999,999,999,999,999,999,999,999,999,999,999,20.6907991,999,22.3295442,999,999,999,999,17.85007533,999,999,20.29105573,999,999,999,999,999,999,999,999,999,21.23522097,999,999,999,999,999,999,25.12184001,999,999,999,999,999,999,999,999,999,999,999,23.44675992,28.78529332,999,999,999,29.27295702,999,999,40.5096819,999,999,999,999,999,999,999,999,37.4336691,22.01745878,33.91763308,999,999,999,999,999,999,24.36979656,999,999,23.56124945,999,999,999,999,999
NTC24,1ul,999,999,21.99069714,36.31238774,16.85749961,999,27.36400346,37.31448596,999,999,999,999,999,999,999,27.12248384,999,999,999,39.18728994,999,999,23.89474009,999,999,999,999,999,999,16.73775405,999,999,19.60389249,999,999,999,999,999,38.07150384,999,23.42572724,999,21.5693057,999,999,999,999,999,999,27.06941177,999,999,999,999,999,999,999,999,999,999,999,23.04451573,28.33352642,999,999,999,29.54813273,33.46865419,999,999,999,999,999,999,999,999,999,999,999,23.94102622,999,999,999,999,999,999,999,24.79138784,999,999,24.72145777,999,999,999,36.28322615,999
NTC25,1ul,999,999,999,38.56044556,16.49549791,999,26.4894052,999,999,999,999,999,999,999,999,42.85012427,999,999,999,999,999,999,999,999,999,27.99465748,999,999,999,17.51557922,999,999,21.32307102,999,999,999,999,999,24.07911242,999,999,999,20.86571064,999,999,999,999,999,23.21038928,27.08071738,999,999,999,999,32.51154172,999,999,999,999,999,27.13627338,21.00255261,22.14779468,999,999,999,42.2040573,999,999,999,999,39.09905966,999,999,999,999,999,999,21.94443681,999,999,999,27.30714273,999,999,999,999,24.9073795,999,23.0772692,25.49023342,999,999,999,999,999
NTC26,1ul,999,999,999,999,16.39099677,30.73553144,25.31475373,999,999,34.13692331,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,22.75364481,999,999,999,16.93718459,999,999,37.6148523,24.44338503,999,999,34.98814587,999,999,33.72828248,999,999,23.16711806,999,999,999,999,999,999,26.56901948,35.74667896,999,999,999,999,21.46323539,999,999,999,31.84928754,999,20.35198163,42.86177268,999,999,999,29.48863128,37.1386707,999,999,24.38129021,999,999,999,999,999,999,999,999,30.75442231,999,999,28.86459365,999,999,999,999,25.07606003,999,999,23.85496542,999,999,999,999,999
NTC27,1ul,999,999,999,999,16.16551526,999,25.91437457,29.28499477,999,999,999,999,43.01399786,999,999,999,999,999,999,999,999,999,999,999,21.89499321,999,999,999,999,16.03641043,999,999,18.21831168,999,999,999,999,21.56080058,38.02632099,999,999,42.96194392,18.41360953,999,999,39.63656497,999,999,999,27.8499408,999,999,999,999,999,26.06702328,999,999,999,22.38490428,999,18.89143589,38.5589269,25.24910206,999,999,33.81718418,35.80501568,999,999,999,27.14007365,999,999,999,999,999,30.13989671,27.15073705,999,999,999,24.18801877,35.65879937,999,999,43.32161306,20.35076562,42.7984182,999,23.89852371,999,999,999,999,999
NTC28,1ul,999,999,999,999,16.08223107,999,25.71927566,999,999,999,999,999,999,999,999,21.27886622,999,999,999,26.82478259,999,999,999,999,999,999,30.99788483,999,25.09803352,15.75626012,999,999,18.81823523,999,999,999,999,999,999,999,999,999,19.44852655,999,999,42.79419975,999,43.81990894,999,26.87594031,999,999,999,999,34.52555363,999,999,999,999,999,999,18.57709487,21.55270544,999,999,999,37.8623161,999,999,999,999,27.3730181,999,999,999,999,999,999,999,999,999,999,999,39.4092149,999,999,999,24.40768287,42.22318564,999,23.30847771,999,999,999,999,999
NTC29,1ul,999,999,999,40.50798204,15.80474759,999,25.31812788,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,20.73975756,999,999,999,36.36011358,999,40.23838626,16.78519377,999,999,20.23725108,999,999,999,999,999,999,999,999,999,20.83164849,999,999,999,999,999,999,27.10972125,999,999,999,999,999,999,999,999,999,999,999,20.21085017,21.81327418,999,999,37.23388194,43.75390627,40.81865094,999,999,999,27.40644121,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,24.08843006,999,999,24.78727541,999,999,999,999,24.67902319
NTC30,1ul,41.393682,999,999,38.5139632,14.94242632,999,25.77570342,999,999,41.52635086,999,999,999,999,999,35.17112533,999,999,999,999,999,999,21.90877732,999,999,999,999,999,41.51237533,15.36067499,999,999,19.22371786,999,999,999,999,999,999,999,999,999,20.46586033,32.19620718,999,43.34298282,999,999,37.19819056,28.70487965,999,999,999,999,999,999,999,999,999,999,999,19.72113397,32.25510302,999,999,999,34.48146253,32.84169631,999,999,999,999,999,999,999,999,999,31.05686134,26.56752909,23.45477429,999,999,999,999,999,999,999,23.45363322,40.35116036,999,23.16492774,999,999,999,999,999
