x,y
198216.8298,2.87351
198730.3423,2.86932
199243.8549,2.86514
199757.3674,2.86097
200270.8799,2.85681
200784.3924,2.85266
201297.9049,2.84852
201811.4174,2.8444
202324.9299,2.84028
202838.4424,2.83617
203351.955,2.83208
203865.4675,2.82799
204378.98,2.82392
204892.4925,2.81985
205406.005,2.8158
205919.5175,2.81175
206433.03,2.80772
206946.5425,2.80369
207460.0551,2.79968
207973.5676,2.79567
208487.0801,2.79168
209000.5926,2.78769
209514.1051,2.78372
210027.6176,2.77975
210541.1301,2.7758
211054.6426,2.77185
211568.1552,2.76791
212081.6677,2.76399
212595.1802,2.76007
213108.6927,2.75616
213622.2052,2.75226
214135.7177,2.74837
214649.2302,2.74449
215162.7427,2.74062
215676.2553,2.73676
216189.7678,2.73291
216703.2803,2.72906
217216.7928,2.72523
217730.3053,2.7214
218243.8178,2.71759
218757.3303,2.71378
219270.8428,2.70998
219784.3554,2.70619
220297.8679,2.70241
220811.3804,2.69864
221324.8929,2.69488
221838.4054,2.69112
222351.9179,2.68738
222865.4304,2.68364
223378.9429,2.67991
223892.4555,2.67619
224405.968,2.67248
224919.4805,2.66878
225432.993,2.66509
225946.5055,2.6614
226460.018,2.65772
226973.5305,2.65405
227487.043,2.65039
228000.5556,2.64674
228514.0681,2.64309
229027.5806,2.63946
229541.0931,2.63583
230054.6056,2.63221
230568.1181,2.6286
231081.6306,2.62499
231595.1431,2.6214
232108.6557,2.61781
232622.1682,2.61423
233135.6807,2.61066
233649.1932,2.60709
234162.7057,2.60354
234676.2182,2.59999
235189.7307,2.59645
235703.2432,2.59292
236216.7558,2.58939
236730.2683,2.58587
237243.7808,2.58236
237757.2933,2.57886
238270.8058,2.57536
238784.3183,2.57188
239297.8308,2.5684
239811.3433,2.56492
240324.8559,2.56146
240838.3684,2.558
241351.8809,2.55455
241865.3934,2.55111
242378.9059,2.54767
242892.4184,2.54424
243405.9309,2.54082
243919.4434,2.53741
244432.956,2.534
244946.4685,2.5306
245459.981,2.52721
245973.4935,2.52382
246487.006,2.52045
247000.5185,2.51707
247514.031,2.51371
248027.5435,2.51035
248541.0561,2.507
249054.5686,2.50366
249568.0811,2.50032
250081.5936,2.49699
250595.1061,2.49367
251108.6186,2.49035
251622.1311,2.48704
252135.6436,2.48374
252649.1562,2.48044
253162.6687,2.47716
253676.1812,2.47387
254189.6937,2.4706
254703.2062,2.46733
255216.7187,2.46406
255730.2312,2.46081
256243.7437,2.45756
256757.2563,2.45432
257270.7688,2.45108
257784.2813,2.44785
258297.7938,2.44463
258811.3063,2.44141
259324.8188,2.4382
259838.3313,2.43499
260351.8438,2.43179
260865.3564,2.4286
261378.8689,2.42542
261892.3814,2.42224
262405.8939,2.41906
262919.4064,2.4159
263432.9189,2.41274
263946.4314,2.40958
264459.9439,2.40643
264973.4565,2.40329
265486.969,2.40015
266000.4815,2.39702
266513.994,2.3939
267027.5065,2.39078
267541.019,2.38767
268054.5315,2.38456
268568.044,2.38146
269081.5566,2.37837
269595.0691,2.37528
270108.5816,2.3722
270622.0941,2.36912
271135.6066,2.36605
271649.1191,2.36298
272162.6316,2.35992
272676.1441,2.35687
273189.6567,2.35382
273703.1692,2.35078
274216.6817,2.34774
274730.1942,2.34471
275243.7067,2.34169
275757.2192,2.33867
276270.7317,2.33565
276784.2442,2.33265
277297.7568,2.32964
277811.2693,2.32665
278324.7818,2.32365
278838.2943,2.32067
279351.8068,2.31769
279865.3193,2.31471
280378.8318,2.31174
280892.3443,2.30878
281405.8569,2.30582
281919.3694,2.30287
282432.8819,2.29992
282946.3944,2.29698
283459.9069,2.29404
283973.4194,2.29111
284486.9319,2.28818
285000.4444,2.28526
285513.957,2.28234
286027.4695,2.27943
